等級,日期和時間,來源,事件識別碼,工作類別
資訊,2025/6/26 下午 11:00:21,Microsoft-Windows-Time-Service,158,無,時間提供者 'VMICTimeProvider' 指出目前的硬體與作業環境不受支援且已停止。對於非 HyperV 客體環境上的 VMICTimeProvider，這是預期的行為。對於目前作業環境中的目前提供者，這可能也是預期的行為。
資訊,2025/6/26 下午 10:46:40,Microsoft-Windows-Kernel-General,11,無,登錄區 \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy4\WINDOWS\System32\config\DRIVERS (TM: {8f3b9714-4ea7-11f0-bce6-28d043171b5b}，RM: {8f3b9713-4ea7-11f0-bce6-28d043171b5b}) 的 TxR 初始化階段已完成，結果=0xC00000A2 (內部碼=7)。
資訊,2025/6/26 下午 10:46:40,Microsoft-Windows-Kernel-General,11,無,登錄區 \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy4\WINDOWS\System32\config\SYSTEM (TM: {8f3b9711-4ea7-11f0-bce6-28d043171b5b}，RM: {8f3b9710-4ea7-11f0-bce6-28d043171b5b}) 的 TxR 初始化階段已完成，結果=0xC00000A2 (內部碼=7)。
資訊,2025/6/26 下午 10:46:39,Microsoft-Windows-Ntfs,98,無,磁碟區 ?? (\Device\HarddiskVolumeShadowCopy4) 的健康情況良好。不需要採取任何動作。
資訊,2025/6/26 下午 10:43:17,Microsoft-Windows-Time-Service,158,無,時間提供者 'VMICTimeProvider' 指出目前的硬體與作業環境不受支援且已停止。對於非 HyperV 客體環境上的 VMICTimeProvider，這是預期的行為。對於目前作業環境中的目前提供者，這可能也是預期的行為。
錯誤,2025/6/26 下午 10:34:24,Volsnap,36,無,因為使用者規定了限制所以陰影複製儲存區無法擴充，磁碟區 C: 的陰影複製被中止。
資訊,2025/6/26 下午 10:33:29,Volsnap,33,無,為了保持磁碟區 C: 陰影複製的磁碟空間使用量低於使用者所定義的限制，已刪除磁碟區 C: 的最舊陰影複製。
資訊,2025/6/26 下午 10:32:20,Volsnap,33,無,為了保持磁碟區 C: 陰影複製的磁碟空間使用量低於使用者所定義的限制，已刪除磁碟區 C: 的最舊陰影複製。
資訊,2025/6/26 下午 10:27:32,Service Control Manager,7040,無,Background Intelligent Transfer Service 服務的啟動類型已從 自動啟動 變更為 指定啟動。
資訊,2025/6/26 下午 10:26:13,Microsoft-Windows-Time-Service,158,無,時間提供者 'VMICTimeProvider' 指出目前的硬體與作業環境不受支援且已停止。對於非 HyperV 客體環境上的 VMICTimeProvider，這是預期的行為。對於目前作業環境中的目前提供者，這可能也是預期的行為。
資訊,2025/6/26 下午 10:25:32,Service Control Manager,7040,無,Background Intelligent Transfer Service 服務的啟動類型已從 指定啟動 變更為 自動啟動。
